Wavelength (nm) ,Transmission (%)
345.2,0.68
373.3,3.63
394.3,8.44
406.8,12.26
431.4,15.60
456.1,20.67
476.8,24.52
496.4,28.16
501.4,31.86
507.3,35.43
521.8,38.88
538.2,43.62
550.5,47.90
568.6,51.11
579.4,53.68
596.6,55.88
616.6,58.78
641.5,61.33
667.3,62.75
709.2,64.50
788.3,65.63
861.9,65.40
929.1,65.54
1020.8,66.68
1108.3,67.62
1172.8,67.86
1206.8,66.04
1229.5,64.68
1239.3,66.71
1268.9,68.31
1316.7,69.91
1353.6,71.03
1400.2,68.82
1438.7,66.25
1458.9,63.81
1506.6,64.88
1517.8,66.47
1540.0,68.49
1568.6,69.64
1602.4,71.00
1633.6,71.92
1681.6,71.22
1698.7,68.49
1704.5,65.76
1710.4,61.67
1716.3,58.04
1722.1,55.08
1722.3,51.90
1752.9,52.05
1773.0,54.62
1784.0,59.85
1784.2,57.35
1823.5,61.21
1851.8,62.11
1884.3,64.44
1905.3,60.97
1908.3,62.56
1914.2,58.47
1931.3,55.97
1931.4,53.92
1954.1,52.56
1959.7,53.92
1982.2,55.96
2013.9,58.97
2038.7,57.32
2061.4,55.50
2089.8,53.68
2123.6,55.04
2146.2,56.63
2172.4,58.04
2202.7,56.17
2231.1,54.35
2243.2,41.39
2248.2,51.84
2248.4,48.21
2249.0,37.75
2254.2,45.48
2254.9,33.43
2260.7,30.48
2260.9,26.84
2278.1,23.43
2283.9,20.70
2284.1,16.84
2290.0,13.66
2295.7,11.84
2295.9,8.88
2307.4,6.16
2341.2,7.52
2346.8,9.56
2400.3,10.91
