Wavelength (nm),Transmission (fraction)
353.7,0.12
361.6,0.12
376.2,0.19
381.5,0.26
387.5,0.32
392.2,0.37
397.5,0.41
404.2,0.45
412.1,0.50
420.0,0.54
428.0,0.58
437.2,0.63
449.1,0.67
466.2,0.71
491.2,0.74
520.0,0.73
548.8,0.71
577.7,0.73
606.5,0.70
635.3,0.68
664.1,0.67
693.0,0.68
721.8,0.69
750.7,0.69
779.5,0.70
808.4,0.70
837.2,0.69
866.0,0.68
894.8,0.66
923.6,0.64
952.5,0.62
981.3,0.60
1010.1,0.59
1038.9,0.58
1067.8,0.58
1096.6,0.58
1125.4,0.58
1154.3,0.57
1179.1,0.54
1201.4,0.53
1227.7,0.57
1256.6,0.60
1285.5,0.62
1314.3,0.64
1343.2,0.64
1372.0,0.61
1400.8,0.60
1429.6,0.59
1458.5,0.60
1487.4,0.62
1516.3,0.65
1545.1,0.67
1574.0,0.68
1602.8,0.69
1631.7,0.68
1652.6,0.64
1672.2,0.61
1691.8,0.56
1700.9,0.54
