Wavelength (nm) ,Transmission (%)
352.8,6.99
358.3,8.57
368.0,10.73
375.7,12.42
383.9,13.37
386.6,14.71
393.9,16.05
405.8,17.02
408.5,18.44
414.0,19.33
416.8,20.57
426.5,21.52
426.5,22.46
433.7,23.54
455.7,24.98
457.8,27.98
462.3,26.66
472.8,29.37
477.3,31.49
482.4,33.38
485.2,36.90
490.6,39.18
492.5,35.43
498.8,42.01
504.3,44.29
518.0,47.69
527.9,49.53
529.0,51.84
544.7,53.61
545.4,55.08
548.1,56.82
566.2,58.00
568.4,59.67
579.8,61.72
593.6,63.17
594.7,64.76
601.8,65.56
601.8,66.12
611.5,66.87
611.5,67.44
621.2,68.38
635.7,68.87
645.8,67.81
665.8,65.98
669.9,67.44
669.9,66.69
675.0,64.87
693.2,63.20
695.6,61.77
710.6,59.89
728.8,58.38
739.8,57.09
769.9,55.89
821.9,56.06
857.5,57.25
882.1,58.37
904.0,59.53
928.6,60.75
961.5,62.01
1005.3,63.29
1060.0,64.36
1117.5,65.46
1166.8,66.56
1207.9,67.63
1246.2,68.79
1281.8,70.02
1314.6,71.17
1347.5,72.29
1380.3,73.42
1413.2,74.59
1448.8,75.73
1487.1,76.88
1533.6,78.04
1591.1,79.22
1651.4,80.07
1711.6,80.51
1771.8,80.57
1832.0,80.42
1892.3,80.07
1952.5,79.60
2012.7,79.01
2072.9,78.31
2133.2,77.42
2193.4,76.41
2253.6,75.68
2313.8,75.25
2374.1,74.80
2434.3,74.11
2478.1,73.53
