Wavelength (nm) ,Transmission (%)
355.8,4.74
384.0,9.56
432.1,12.08
472.4,17.90
495.4,24.72
507.1,30.29
521.7,40.89
538.1,47.58
554.4,53.23
563.7,56.88
569.6,60.09
586.8,64.09
611.0,66.04
632.0,63.83
643.2,61.42
660.0,58.49
670.2,55.05
697.8,49.35
757.4,45.52
845.3,46.84
933.2,49.43
1021.1,51.23
1109.0,53.59
1197.1,57.34
1273.1,61.33
1341.2,65.50
1417.3,69.85
1501.4,73.60
1589.3,75.96
1677.1,76.60
1764.9,76.01
1852.5,74.33
1940.2,72.45
2027.9,70.39
2115.5,68.51
2203.2,66.39
2290.9,64.72
2378.6,63.34
2455.3,62.16
