Wavelength (nm),Transmission (%)
345.3,2.14
361.4,5.57
385.5,10.22
437.5,13.39
475.9,16.02
485.7,20.27
502.0,26.68
514.2,31.39
526.5,37.51
542.9,44.11
559.2,50.23
580.0,56.88
597.2,62.23
623.8,65.07
659.2,61.42
676.0,58.22
686.9,56.26
731.1,51.84
813.8,49.35
881.2,45.04
944.7,40.85
1024.0,37.40
1111.5,36.39
1199.2,37.81
1286.9,40.52
1374.7,44.00
1462.5,47.34
1550.2,50.03
1638.7,51.53
1725.4,51.94
1815.3,51.25
1900.4,49.92
1987.9,48.12
2075.3,46.21
2161.9,44.08
2253.4,41.87
2337.6,39.90
2425.8,38.12
2480.7,37.04
