Wavelength (nm) ,Transmission (%)
314.5,12.26
336.8,20.41
337.1,17.10
338.8,23.13
338.9,24.12
339.0,26.76
339.1,29.70
339.7,14.94
355.9,13.37
380.7,13.47
380.9,17.81
383.3,21.00
384.3,15.59
384.6,23.64
384.7,25.67
384.8,27.71
387.5,30.29
388.0,33.03
388.6,34.83
388.7,36.86
391.4,39.59
392.5,42.60
392.6,44.63
392.7,48.70
395.4,51.33
395.6,46.70
396.5,55.82
396.6,57.86
396.8,62.71
397.1,54.17
400.4,60.43
403.4,65.08
406.7,68.52
414.0,72.39
416.7,74.88
429.1,76.99
455.6,79.17
490.9,81.09
529.7,82.73
568.5,83.89
607.3,84.81
646.1,85.54
684.8,86.16
723.6,86.59
762.4,86.91
801.1,87.17
839.9,87.57
878.6,87.62
917.4,87.54
956.1,87.68
994.8,87.74
1033.6,87.81
1072.3,87.87
1111.1,88.04
1149.8,88.05
1188.6,88.06
1227.3,88.20
1266.1,88.36
1304.8,88.53
1343.6,88.61
1382.3,88.64
1421.0,88.61
1459.8,88.69
1498.5,88.89
1537.3,89.04
1576.0,89.16
1614.8,89.16
1653.5,89.10
1692.2,88.99
1731.0,88.98
1769.7,88.89
1808.5,88.86
1847.2,88.98
1886.0,89.04
1924.7,89.07
1963.4,88.72
2002.2,88.87
2040.9,89.10
2079.7,89.06
2118.4,88.41
2157.1,88.13
2195.8,87.78
2234.6,87.28
2273.3,87.14
2312.1,87.61
2350.8,88.15
2389.6,88.55
2428.3,88.22
2467.0,88.31
2496.6,88.39
