Wavelength (nm) ,Transmission (%)
300.0,6.01
306.5,7.83
313.3,9.70
350.6,10.13
381.8,11.47
403.6,14.52
442.4,15.69
481.2,15.94
519.9,16.75
549.9,17.68
556.8,20.02
560.7,21.74
563.7,24.39
568.8,28.01
574.5,30.99
577.0,33.57
581.2,36.03
585.1,38.95
588.5,41.69
593.3,45.02
597.0,48.22
600.6,49.95
603.2,52.02
606.1,55.04
611.4,57.36
617.3,59.92
626.0,63.18
632.9,65.89
643.8,68.26
656.0,70.46
677.2,72.65
709.0,74.89
747.8,76.21
786.6,77.31
825.4,78.31
864.2,79.45
902.9,79.93
941.7,80.38
980.5,80.81
1019.2,81.15
1058.0,81.45
1096.7,81.76
1135.5,82.06
1174.2,82.23
1213.0,82.46
1251.7,82.69
1290.5,82.97
1329.2,83.30
1368.0,83.53
1406.7,83.58
1445.5,83.61
1484.2,83.83
1523.0,84.09
1561.7,84.35
1600.5,84.54
1639.2,84.54
1678.0,84.54
1716.7,84.48
1755.4,84.36
1794.2,84.39
1832.9,84.58
1871.7,84.85
1910.4,85.04
1949.2,85.09
1987.9,85.29
2026.7,85.51
2065.4,85.54
2104.1,85.06
2142.9,84.50
2181.6,83.84
2220.3,83.52
2259.0,83.34
2297.8,83.82
2336.6,84.36
2375.3,84.92
2414.1,85.45
2454.2,84.10
2488.5,84.46
