Wavelength (nm),Transmission (%)
308.2,3.40
314.6,4.19
333.1,5.45
333.1,4.82
347.8,7.34
356.2,8.47
368.5,10.37
382.7,12.30
392.0,13.88
399.9,15.68
408.4,17.48
416.3,19.60
424.2,21.69
431.3,23.61
435.3,25.27
438.0,27.30
444.8,29.32
450.9,30.87
454.6,33.06
463.4,35.73
466.5,37.15
471.9,38.96
481.5,41.92
490.7,44.98
494.3,46.33
503.8,48.24
512.6,49.69
518.0,51.54
530.3,53.54
542.9,55.46
557.9,57.20
567.8,58.07
576.1,59.15
586.7,60.04
604.6,61.64
633.4,62.73
663.6,63.42
693.9,63.50
724.1,63.21
754.4,63.34
784.7,63.14
818.6,62.42
842.4,65.22
843.4,62.75
848.6,63.52
870.8,62.68
874.4,63.94
889.3,63.10
904.0,63.73
916.7,64.06
946.9,64.51
977.2,64.94
1007.4,65.19
1037.7,65.58
1067.9,66.18
1098.1,66.98
1128.4,68.01
1158.6,69.01
1188.8,69.94
1219.0,70.70
1249.3,71.33
1279.5,71.84
1309.8,72.37
1340.0,72.92
1370.2,73.53
1400.5,74.25
1430.7,75.04
1460.9,75.91
1491.2,76.74
1521.4,77.52
1551.6,78.21
1581.9,78.91
1612.1,79.39
1642.4,79.74
1672.6,79.94
1702.9,80.07
1733.1,80.27
1763.4,80.41
1793.6,80.53
1823.9,80.69
1854.1,80.75
1884.4,80.79
1914.7,80.71
1944.9,80.81
1975.2,81.21
2005.4,81.75
2035.7,81.96
2065.9,82.34
2096.2,82.71
2126.4,82.92
2156.7,82.92
2186.9,83.00
2217.2,82.91
2241.9,82.81
2267.7,83.02
2286.2,83.02
2300.9,83.44
2315.7,83.23
2334.2,83.65
2341.6,83.02
2363.8,83.44
2378.6,83.65
2389.7,83.65
2404.5,83.23
2421.7,83.32
2437.3,83.21
2456.3,82.60
2467.4,81.97
2481.3,82.89
2485.8,84.07
2485.8,83.02
2493.2,84.70
2493.5,86.63
2500.5,85.74
