Wavelength (nm),Transmission (%)
308.2,3.33
322.0,5.66
347.8,6.92
356.2,8.49
368.5,10.39
380.8,12.15
391.7,13.89
399.9,15.72
408.1,17.55
416.0,19.37
422.0,21.32
428.5,23.11
434.0,24.93
438.9,26.89
443.7,29.26
450.2,30.91
454.6,32.97
462.4,35.51
466.5,36.99
468.7,38.78
480.1,41.75
486.9,45.07
487.0,43.61
490.5,46.54
494.2,48.01
501.5,49.69
512.6,51.15
523.5,54.30
530.8,56.81
538.2,57.86
549.3,58.49
567.7,59.12
578.4,62.49
582.4,61.22
584.0,59.78
615.4,64.08
652.6,63.32
681.5,63.55
708.1,62.47
715.9,62.08
740.7,60.96
761.4,59.61
787.6,57.95
818.0,55.72
826.7,54.09
826.8,53.25
841.6,52.83
856.4,51.99
871.2,51.15
886.0,51.57
900.7,50.77
915.6,49.90
928.2,49.56
954.8,48.69
986.5,47.59
1009.5,46.78
1049.4,45.58
1090.7,44.50
1143.0,43.55
1195.3,42.94
1246.2,42.61
1298.5,42.75
1352.1,43.16
1403.0,43.83
1451.1,44.52
1499.2,45.40
1522.2,45.49
1545.9,46.25
1570.2,46.54
1595.4,47.13
1614.6,47.17
1643.5,48.01
1673.7,48.43
1695.8,48.85
1718.0,49.27
1739.8,49.44
1758.7,49.90
1783.7,50.08
1806.7,50.73
1830.5,51.01
1847.3,51.36
1869.5,51.78
1881.3,51.69
1899.1,52.20
1917.6,52.41
1928.6,52.62
1950.8,52.83
1969.3,53.25
1987.8,53.46
2002.6,53.67
2021.0,53.88
2032.1,54.51
2061.4,54.54
2076.5,54.93
2087.5,55.14
2102.3,55.56
2117.1,55.77
2124.5,55.97
2143.0,55.97
2150.3,56.60
2172.5,56.39
2191.0,56.81
2213.2,57.02
2231.7,57.23
2257.5,57.86
2276.0,58.28
2294.5,58.07
2305.6,58.49
2320.3,59.33
2338.8,59.12
2349.9,60.17
2364.7,60.17
2379.4,60.59
2390.6,59.33
2394.2,60.17
2401.6,61.01
2423.8,60.38
2446.0,60.80
2458.7,61.32
2480.7,62.34
2494.0,61.01
