Wavelength (nm),Transmission (%)
154.2,1.16
164.8,2.71
171.3,6.36
180.9,11.29
187.4,14.89
192.0,16.83
199.6,19.60
205.8,21.12
212.0,23.00
220.0,24.60
228.0,26.31
236.1,27.90
245.0,29.48
254.7,31.00
266.7,33.10
281.4,34.82
297.1,36.32
314.4,38.00
330.4,39.40
348.2,40.75
367.8,42.03
387.4,43.11
406.9,44.10
426.5,44.96
446.1,45.71
465.7,46.34
485.3,46.83
504.8,47.32
524.4,47.74
544.0,48.13
563.6,48.45
583.2,48.79
602.8,49.12
622.3,49.32
641.9,49.59
661.5,49.85
680.9,50.16
700.7,50.73
720.2,51.14
739.8,51.45
759.4,51.79
779.0,52.04
798.6,52.27
818.1,52.54
837.7,52.81
857.3,53.11
876.9,53.43
896.5,53.72
916.0,54.03
935.6,54.37
955.2,54.64
974.8,54.96
994.4,55.36
1014.0,55.70
1033.5,56.14
1053.1,56.49
1072.7,56.83
1092.3,57.27
1111.9,57.67
1131.4,58.11
1151.0,58.47
1170.6,58.87
1190.2,59.27
1209.8,59.61
1229.3,60.00
1248.9,60.37
1268.5,60.84
1288.1,61.23
1307.7,61.66
1327.2,62.03
1346.8,62.46
1366.4,62.82
1386.0,63.23
1405.6,63.61
1425.2,64.01
1444.7,64.40
1464.3,64.76
1483.9,65.13
1503.5,65.44
1523.1,65.51
1542.6,65.43
1562.2,65.37
1581.8,65.91
1601.4,66.78
1621.0,67.34
1640.5,67.76
1660.1,68.10
1679.7,68.47
1699.3,68.73
1718.9,67.94
1738.5,68.20
1758.0,69.01
1777.6,69.15
1797.2,69.45
1816.8,69.57
1836.4,69.61
1855.9,69.96
1875.5,70.43
1895.1,70.77
1914.7,71.09
1934.3,71.31
1953.8,71.60
1973.4,71.76
1993.0,71.99
2012.6,72.03
2032.2,72.34
2051.7,72.31
2071.3,71.96
2090.9,71.26
2110.5,71.86
2130.1,72.45
2149.7,73.09
2169.2,73.03
2188.8,73.34
2208.4,73.36
2228.0,72.88
2247.6,72.95
2267.1,72.24
2286.7,73.46
2306.3,72.47
2323.9,73.85
2335.8,73.98
2352.6,72.36
2370.6,73.92
2377.8,74.34
2394.6,72.33
2402.4,72.34
2412.2,74.58
2424.7,75.67
2434.8,73.75
2449.3,72.81
2464.1,75.14
2473.2,76.36
2484.3,74.15
2491.0,72.34
2496.8,71.37
