Wavelength (nm),Transmission (fraction)
306,0
320.5,0
332.4,0.01
340.9,0.02
348.6,0.03
355.6,0.04
362.2,0.05
367.6,0.05
371.5,0.06
378.2,0.07
381.9,0.08
387.9,0.09
392.9,0.1
398.4,0.11
401.1,0.12
406.1,0.13
409.4,0.14
411.8,0.15
413.5,0.16
416.8,0.17
418.3,0.18
421.6,0.19
423,0.2
424.3,0.21
427,0.22
427.1,0.23
431.1,0.24
434.4,0.25
437.1,0.26
440.7,0.27
442.3,0.28
443.1,0.29
444.9,0.3
449.9,0.32
451.8,0.33
453,0.34
454.4,0.35
457.6,0.37
461,0.38
462.9,0.39
463.7,0.4
468.5,0.41
470.2,0.42
472.2,0.44
474.3,0.45
477,0.46
480.7,0.47
481.5,0.48
484.1,0.48
487.9,0.49
489.2,0.5
491.4,0.51
493.3,0.52
499.2,0.53
499.3,0.54
505.3,0.55
508.4,0.56
514.6,0.57
518.5,0.58
525.7,0.59
529,0.6
536.9,0.61
543.1,0.62
549.1,0.62
559.1,0.63
572.4,0.64
585.6,0.65
598.6,0.65
612.6,0.66
626.6,0.66
640.1,0.66
654.4,0.66
667.9,0.65
678.1,0.65
691.4,0.65
696.9,0.64
710.5,0.64
724.5,0.64
739.8,0.63
757.6,0.62
771.7,0.62
781.2,0.61
788.2,0.6
792.7,0.59
803.1,0.59
816.1,0.58
819.3,0.58
830.6,0.57
839.1,0.56
847.9,0.56
856.8,0.55
860.1,0.54
868.7,0.54
879.1,0.53
886.1,0.52
886.9,0.51
894.4,0.51
898.1,0.5
907,0.5
913.2,0.49
921.7,0.48
934.4,0.47
947.2,0.47
953.8,0.46
965.6,0.45
970.4,0.45
984,0.44
996.5,0.43
1003.1,0.43
1008.2,0.42
1021.6,0.42
1032.8,0.41
1040.7,0.4
1047.9,0.4
1058.1,0.39
1071.2,0.39
1072,0.38
1085.8,0.38
1099.2,0.37
1111.7,0.36
1123.4,0.35
1135.4,0.35
1141.3,0.34
1154.5,0.34
1158.3,0.33
1172.3,0.33
1178.9,0.32
1191.4,0.32
1205.4,0.31
1219,0.3
1233.4,0.3
1247.4,0.29
1254.8,0.28
1267.8,0.28
1280.3,0.27
1295.7,0.27
1313.6,0.26
1322.9,0.26
1335.2,0.25
1347.2,0.25
1361.9,0.24
1375,0.24
1387.1,0.23
1400.1,0.23
1414.1,0.22
1425.4,0.22
1438.2,0.22
1441.4,0.21
1454.8,0.21
1459.9,0.21
1473.9,0.21
1482.3,0.2
1494.2,0.2
1500.4,0.2
1513.3,0.2
1527.3,0.19
1541.3,0.19
1555.3,0.19
1569.3,0.18
1583.3,0.18
1597.3,0.18
1611.2,0.17
1625.2,0.17
1639.2,0.17
1650.4,0.16
1663.4,0.16
1677.4,0.16
1691.4,0.16
1705.4,0.15
1719.4,0.15
1728,0.14
1739.7,0.15
1753.7,0.14
1767.7,0.14
1781.7,0.14
1792.4,0.13
1804.6,0.13
1823.4,0.13
1837.2,0.13
1853,0.13
1867,0.12
1876.8,0.12
1889.9,0.12
1907.7,0.12
1921.7,0.12
1935.7,0.11
1948.9,0.11
1967.5,0.11
1984,0.11
1997.6,0.11
2012,0.1
2025.3,0.1
2040,0.1
2054,0.1
2068,0.1
2082,0.1
2092.1,0.09
2106.3,0.09
2120.1,0.09
2135.4,0.09
2142.8,0.09
2154.5,0.08
2168.5,0.08
2177.4,0.08
2191.4,0.08
2204.8,0.08
2219.4,0.08
2233.4,0.08
2247.5,0.08
2260.5,0.08
2271.8,0.07
2285.4,0.07
2293,0.07
2305.6,0.07
2319.9,0.07
2329.3,0.06
2336.4,0.07
2348.4,0.06
2361.9,0.06
2375.8,0.06
2389.8,0.06
2400,0.06
