Wavelength (nm),Transmission (%)
237.0,2.74
307.7,4.52
365.6,7.80
397.6,11.73
420.0,16.29
445.5,21.72
467.8,27.42
483.7,32.37
499.6,37.49
518.7,43.37
541.0,48.82
572.4,52.95
645.4,55.26
714.1,52.40
771.0,47.82
835.1,43.18
856.7,39.84
876.2,42.62
893.3,39.70
923.4,36.59
963.4,34.81
1046.1,31.62
1119.4,30.59
1204.5,30.63
1271.5,31.28
1362.7,32.85
1436.0,34.48
1509.4,36.00
1587.9,38.20
1676.9,40.36
1757.7,42.50
1841.3,44.58
1932.0,47.01
2020.0,48.40
2107.9,50.20
2193.7,51.59
2267.3,52.93
2341.6,54.34
2384.2,55.23
2432.2,55.85
2479.0,56.41
