Wavelength (nm),Transmission (%)
249.8,0
319.9,0.01
330.3,3.97
333.7,7.13
340.6,11.36
351,14
354.4,16.37
361.3,19.27
375.2,21.65
385.7,23.24
389.1,26.14
406.5,29.57
423.9,33
448.3,38.28
462.2,41.19
469.1,44.88
483,46.99
493.4,50.42
510.8,53.07
535.2,56.23
559.7,58.08
594.7,59.67
622.7,60.73
654.2,61.26
678.8,60.47
717.4,58.63
742,56.52
766.6,55.47
787.6,54.94
819.3,52.31
840.3,51.52
871.9,50.47
910.5,49.15
938.6,48.37
1001.7,47.58
1050.7,47.32
1113.8,47.33
1204.9,47.87
1299.6,47.88
1404.7,48.68
1485.3,48.69
1565.9,47.91
1632.6,46.07
1702.7,44.23
1808,39.76
1860.6,38.18
1920.3,36.34
1983.5,33.19
2036.1,31.34
2130.9,27.4
2225.7,22.92
2309.9,20.56
2366,18.45
2411.6,17.4
2439.7,16.35
2467.7,15.83
2488.8,14.51
