Wavelength (nm) ,Transmission (%)
320.6,8.11
327.4,11.00
334.2,14.56
341.9,17.80
354.9,19.64
368.6,23.35
385.1,27.72
403.4,32.01
420.8,36.21
432.7,40.36
443.7,44.72
457.5,49.17
486.7,51.30
497.6,50.88
519.4,48.00
539.3,43.97
553.8,39.84
569.2,35.33
581.8,31.25
598.1,26.93
617.2,22.74
643.5,18.81
677.1,16.43
688.9,16.07
722.6,16.59
734.5,16.94
764.6,18.93
783.7,20.44
801.0,22.15
831.1,25.37
861.2,28.03
889.5,30.32
921.5,33.92
959.7,34.69
971.5,34.81
998.0,37.33
1027.2,40.69
1060.0,43.64
1080.1,44.50
1100.1,44.63
1111.9,44.59
1133.7,41.84
1148.2,37.64
1173.6,34.20
1214.6,33.38
1226.4,33.49
1260.1,33.40
1279.5,32.58
1297.4,30.12
1308.2,28.14
1317.3,25.87
1326.3,23.41
1334.5,21.28
1343.5,19.01
1352.6,17.07
1361.7,15.02
1370.7,12.61
1378.9,10.19
1387.0,7.80
1401.5,5.57
1421.5,4.87
1441.6,4.93
1461.6,4.87
1481.6,4.90
1496.2,5.02
