Wavelength (nm) ,Transmission (fraction)
345.4,0.01
356.8,0.03
359.2,0.06
369.0,0.09
373.8,0.13
378.9,0.17
392.3,0.23
401.2,0.28
412.3,0.34
425.8,0.37
441.5,0.41
447.2,0.44
457.1,0.48
476.8,0.53
500.5,0.57
511.1,0.60
533.4,0.64
560.4,0.66
597.5,0.67
617.2,0.69
643.3,0.70
699.7,0.68
751.8,0.65
806.8,0.62
862.4,0.61
914.4,0.59
957.8,0.55
988.3,0.51
1024.6,0.45
1050.7,0.40
1085.8,0.35
1119.9,0.31
1137.3,0.28
1167.1,0.26
1196.7,0.24
1228.6,0.23
1280.3,0.21
1326.4,0.20
1380.6,0.19
1456.6,0.17
1506.4,0.16
1558.2,0.15
1616.9,0.13
1667.3,0.11
1720.8,0.09
1770.3,0.08
1825.4,0.06
1893.8,0.05
1960.0,0.04
1992.4,0.04
2064.1,0.03
2099.5,0.03
2141.5,0.03
2205.8,0.02
2255.2,0.02
2282.4,0.01
2317.3,0.01
2368.7,0.01
2431.8,0.01
2475.3,0.01
