Wavelength (nm),Transmission (fraction)
339.4,0.01
354.3,0.02
359.2,0.04
372.4,0.06
383.8,0.09
401.1,0.11
424.9,0.12
448.0,0.14
472.1,0.15
499.9,0.15
522.6,0.14
551.8,0.13
575.3,0.11
627.6,0.09
677.0,0.06
726.6,0.05
776.3,0.04
828.2,0.05
882.3,0.04
931.3,0.04
986.1,0.03
1035.1,0.03
1089.9,0.03
1144.7,0.03
1196.0,0.03
1247.2,0.03
1301.5,0.03
1347.2,0.02
1397.7,0.02
1453.2,0.02
1508.7,0.02
1559.2,0.02
1614.0,0.02
1665.3,0.02
1717.2,0.02
1771.3,0.01
1820.3,0.01
1875.1,0.01
1929.3,0.01
1983.4,0.01
2035.3,0.01
2087.2,0.01
2139.1,0.01
2190.3,0.01
2249.6,0.01
2299.3,0.01
2348.9,0.01
2398.6,0.01
2448.2,0.01
2486.6,0.01
