Wavelength (nm),Transmission (%)
324.4,0.35
331.1,0.35
337.7,0.88
340.2,1.55
344.8,2.97
347.7,4.19
351.2,5.87
353.8,7.09
356.1,8.33
358.6,10.03
361.6,11.86
364.2,13.16
366.4,14.66
370.3,16.32
374.2,17.74
375.3,18.97
375.9,20.24
379.5,21.79
382.1,23.35
385.1,24.68
387.3,25.82
388.5,26.67
391.4,27.77
394.3,28.89
397.9,30.06
403.0,31.29
408.0,32.41
413.5,33.48
420.5,34.50
428.6,35.47
439.1,36.47
451.9,37.26
464.7,37.65
477.5,37.47
490.3,36.92
502.5,36.07
513.6,35.06
523.5,34.00
532.8,32.92
541.5,31.89
549.7,30.91
557.8,29.87
566.0,28.83
574.7,27.75
583.4,26.72
592.7,25.69
603.2,24.55
613.7,23.46
624.7,22.37
636.4,21.34
648.0,20.34
660.2,19.32
673.0,18.36
685.8,17.43
698.6,16.57
711.4,15.73
724.2,14.92
737.0,14.18
749.8,13.46
762.6,12.82
775.4,12.18
788.2,11.62
801.0,11.26
813.8,10.83
826.6,10.36
839.4,9.91
852.2,9.51
865.0,9.11
877.8,8.79
890.6,8.48
903.4,8.20
916.2,7.92
929.0,7.70
941.8,7.48
954.6,7.31
967.5,7.11
980.3,6.93
993.1,6.78
1005.9,6.67
1018.7,6.54
1031.5,6.36
1044.3,6.31
1057.1,6.20
1069.9,6.07
1082.7,6.05
1095.5,5.96
1108.3,5.89
1121.1,5.85
1133.9,5.79
1146.7,5.73
1159.5,5.67
1172.3,5.66
1185.1,5.62
1197.9,5.59
1210.7,5.60
1223.5,5.59
1236.3,5.62
1249.1,5.62
1261.9,5.62
1274.7,5.64
1287.5,5.64
1300.3,5.67
1313.1,5.68
1325.9,5.68
1338.7,5.68
1351.5,5.68
1364.3,5.68
1377.1,5.68
1389.9,5.69
1402.7,5.67
1415.5,5.59
1428.3,5.53
1441.1,5.58
1453.9,5.66
1466.7,5.70
1479.5,5.74
1492.3,5.82
1505.1,5.89
1517.9,5.96
1530.7,5.98
1543.5,6.02
1556.3,6.09
1569.1,6.12
1581.9,6.14
1590.6,1.81
1592.4,6.24
