Wavelength (nm),Transmission (%)
325.1,12.34
325.2,9.97
329.7,15.40
336.1,19.52
344.1,23.43
348.9,26.64
355.4,30.06
364.2,33.41
373.1,36.73
382.8,40.08
394.1,43.39
408.7,46.40
424.2,49.01
446.1,51.53
462.7,53.90
484.8,56.25
512.9,58.17
545.6,59.17
584.8,59.73
637.1,60.02
679.6,59.97
715.6,59.62
751.5,59.37
787.5,59.06
823.4,59.25
859.4,59.50
895.4,59.43
931.3,59.23
967.3,58.82
1003.3,58.80
1039.2,58.81
1075.2,58.81
1111.1,58.69
1147.1,57.94
1183.1,57.35
1219.1,57.34
1255.0,57.44
1291.0,57.24
1327.0,56.29
1363.0,54.54
1385.9,52.57
1391.6,50.44
1397.2,48.31
1408.4,46.41
1416.8,44.75
1436.3,44.04
1458.5,43.80
1486.3,44.76
1507.1,45.82
1535.8,47.59
1555.7,48.56
1580.7,50.23
1599.0,50.56
1650.8,51.08
1686.8,50.66
1722.7,50.00
1752.2,49.18
1794.8,46.94
1837.3,46.59
1861.9,44.18
1871.5,40.81
1878.5,37.37
1883.5,34.25
1890.1,30.92
1899.5,27.13
1923.0,24.96
1948.6,24.63
1975.3,25.20
2011.2,27.44
2047.1,30.30
2082.9,33.05
2112.3,34.80
2126.1,36.52
2158.0,37.38
2194.0,36.48
2229.9,36.48
2264.2,36.56
2276.3,35.11
2290.3,34.64
2312.5,34.16
2335.6,32.59
2370.7,30.71
2406.7,28.73
2442.7,26.98
2478.7,25.60
2500.0,26.04
