Wavelength (nm) ,Transmission (%)
313.1,-0.02
339.3,-0.04
364.3,0.26
377.2,1.61
380.5,3.28
382.2,6.38
383.6,5.05
384.6,8.04
386.9,11.95
387.9,9.95
389.3,16.54
389.3,14.67
389.3,12.80
391.0,19.19
391.7,21.81
391.7,23.68
395.0,25.63
395.3,27.59
396.5,29.17
398.2,31.60
398.9,37.78
399.3,35.03
400.1,38.80
401.2,43.56
402.0,41.32
404.1,45.47
407.2,47.34
408.4,49.62
409.6,51.98
412.1,54.54
418.4,57.79
420.9,60.32
428.1,62.66
435.8,64.83
446.5,66.87
465.6,69.03
491.8,70.27
518.0,70.46
544.2,70.07
570.5,68.89
595.5,67.26
615.7,65.45
632.4,63.71
649.1,61.86
664.6,60.10
680.1,58.07
694.4,56.30
706.3,54.42
718.2,52.50
730.1,50.31
740.9,48.46
750.4,46.51
759.9,44.51
769.5,42.65
779.0,40.58
788.5,38.31
798.0,36.51
807.6,34.53
817.1,32.47
826.6,30.44
836.2,28.52
845.7,26.66
857.6,24.55
869.5,22.41
880.3,20.23
893.4,18.32
908.9,16.47
929.1,14.51
954.1,12.94
980.4,11.78
1006.6,10.96
1032.8,10.47
1059.0,10.04
1085.2,9.64
1111.4,9.22
1137.7,8.78
1163.9,8.29
1190.1,7.80
1216.3,7.33
1242.5,6.90
1268.7,6.50
1294.9,6.14
1321.2,5.82
1347.4,5.56
1373.6,5.26
1399.8,5.09
1426.0,4.86
1452.2,4.84
1478.5,4.80
1504.7,4.59
1530.9,4.59
1557.1,4.69
1583.3,4.85
1609.5,4.86
1635.7,4.86
1662.0,4.92
1688.2,5.12
1714.4,5.12
1740.6,5.12
1766.8,5.13
1793.0,5.22
1819.3,5.39
1845.5,5.39
1871.7,5.53
1897.9,5.65
1924.1,5.65
1950.3,5.66
1976.5,5.66
2002.8,5.66
2029.0,5.66
2055.2,5.67
2081.4,5.67
2107.6,5.72
2133.8,5.75
2160.0,5.65
2186.3,5.50
2212.5,5.58
2238.7,5.55
2264.9,5.29
2291.1,5.37
2317.3,5.11
2343.6,5.10
2369.8,5.31
2396.0,5.09
2422.2,4.96
2448.4,4.51
2474.6,5.02
2494.9,4.24
