Wavelength (nm),Transmission (%)
253.3,0.82
287.1,3.26
303.2,7.42
315.0,10.50
320.0,13.74
328.2,17.49
336.9,20.60
348.0,22.80
348.4,28.85
348.8,25.85
365.6,32.29
370.8,36.26
381.4,39.69
387.7,43.68
387.9,46.43
393.0,51.10
404.8,54.67
411.0,58.70
421.8,62.91
422.4,66.11
438.7,69.78
444.8,73.01
461.1,75.82
466.8,79.67
503.9,82.28
527.6,84.89
571.7,85.16
577.2,83.64
610.1,83.24
621.0,81.59
643.0,80.49
664.7,77.20
686.7,75.82
703.1,73.35
713.8,70.40
724.9,68.13
730.2,65.93
756.2,63.16
779.4,59.62
800.9,56.69
828.6,53.02
844.5,50.05
855.8,46.98
888.1,43.67
910.5,40.38
937.2,37.72
970.7,34.07
1002.7,31.00
1041.9,27.75
1084.8,24.93
1135.2,21.98
1188.9,19.21
1234.0,17.58
1266.9,16.21
1309.5,14.87
1360.4,13.46
1430.1,11.81
1492.3,10.16
1550.9,9.66
1624.3,8.79
1671.6,8.17
1739.8,7.14
1792.4,7.10
1860.9,6.59
1913.2,6.25
2001.1,5.70
2053.5,5.49
2116.4,5.15
2163.6,4.95
2207.6,4.40
2262.6,4.67
2334.2,4.12
2383.7,4.40
2433.3,4.40
2482.8,4.40
