Wavelength (nm) ,Transmission (%)
321.3,1.03
342.4,5.92
354.8,9.87
377.2,13.30
407.0,16.86
451.7,21.78
479.1,25.11
503.9,28.23
528.8,31.59
553.6,34.82
578.5,38.07
603.3,41.16
628.2,44.14
655.5,47.15
687.8,50.38
727.5,53.47
773.5,56.07
831.9,58.23
886.6,59.44
941.2,60.88
995.9,62.26
1050.6,63.50
1105.2,64.84
1159.9,66.08
1214.6,67.46
1269.2,68.87
1323.9,70.37
1378.6,72.00
1433.2,73.48
1487.9,75.23
1542.6,76.65
1597.2,77.85
1651.9,78.63
1706.6,79.21
1761.2,79.42
1815.9,79.52
1870.6,79.66
1925.2,79.85
1979.9,80.02
2034.6,80.29
2089.2,80.56
2143.9,80.54
2198.6,79.27
2253.2,79.16
2307.9,79.95
2362.6,80.24
2417.2,79.87
2469.4,78.90
