Wavelength (nm),Transmission (%)
347.4,9.85
354.0,3.54
354.0,1.36
357.3,6.33
358.9,8.17
368.7,11.99
390.2,13.04
408.0,13.08
408.0,14.17
421.9,11.24
427.7,8.17
444.3,6.20
460.8,5.87
502.3,7.21
507.8,7.85
563.5,9.18
618.2,8.31
660.0,10.26
668.9,13.48
680.3,16.84
687.9,19.89
690.3,22.67
692.8,25.68
692.9,29.70
701.0,32.65
712.5,36.51
727.2,38.15
737.5,39.05
756.7,38.96
766.5,37.87
780.6,36.70
811.1,33.32
866.7,30.38
921.4,28.88
976.0,28.13
1030.7,27.44
1085.4,26.99
1140.0,26.89
1194.7,27.30
1249.4,28.68
1304.0,30.90
1358.7,33.40
1413.4,35.24
1468.0,37.02
1522.7,39.12
1577.4,41.13
1632.0,42.36
1686.7,42.24
1741.4,41.53
1796.0,40.95
1850.7,40.88
1905.4,41.25
1960.0,41.92
2014.7,43.02
2069.4,44.29
2124.0,45.64
2178.7,46.69
2233.4,47.63
2288.0,49.50
2342.7,50.97
2397.4,52.15
2452.0,52.25
2489.3,51.87
