Wavelength (nm),Transmission (fraction)
303.6,0.00
308.9,0.01
317.9,0.01
323.3,0.01
328.6,0.01
337.6,0.01
343.2,0.01
355.1,0.02
367.6,0.02
380.1,0.03
390.4,0.04
398.9,0.06
404.1,0.07
409.0,0.09
412.6,0.10
417.4,0.12
421.2,0.14
424.5,0.15
427.4,0.17
430.1,0.13
430.8,0.19
433.0,0.21
434.7,0.22
437.2,0.24
439.4,0.26
442.2,0.28
444.6,0.29
446.6,0.31
449.0,0.33
451.4,0.35
453.5,0.37
456.0,0.39
458.0,0.41
460.3,0.43
462.0,0.45
464.4,0.47
466.7,0.49
469.0,0.51
471.7,0.53
473.9,0.55
476.2,0.56
478.4,0.58
480.7,0.59
483.6,0.61
486.5,0.63
489.7,0.65
493.3,0.67
498.2,0.68
503.4,0.70
508.6,0.72
518.8,0.73
531.3,0.74
543.8,0.74
556.3,0.73
568.8,0.72
579.6,0.71
587.0,0.69
591.6,0.68
597.2,0.66
600.6,0.65
603.3,0.64
608.2,0.61
610.2,0.60
613.5,0.58
615.9,0.56
617.8,0.55
619.7,0.53
622.2,0.51
623.9,0.49
626.2,0.48
628.0,0.46
630.9,0.44
634.0,0.41
637.6,0.39
639.8,0.37
642.1,0.36
644.3,0.34
646.6,0.32
649.2,0.31
651.4,0.28
653.4,0.26
656.3,0.25
659.0,0.23
660.8,0.20
661.4,0.21
664.3,0.19
670.1,0.17
672.8,0.16
676.2,0.14
680.7,0.13
685.8,0.11
691.9,0.09
699.9,0.07
709.7,0.06
721.0,0.04
733.5,0.03
746.0,0.02
758.5,0.02
771.0,0.01
783.5,0.01
796.0,0.01
808.5,0.01
821.0,0.01
833.5,0.01
846.0,0.01
858.5,0.01
871.0,0.01
877.9,0.01
890.5,0.00
903.0,0.00
920.9,0.00
942.3,0.00
962.0,0.00
979.9,0.00
992.4,0.00
1006.8,0.00
1021.1,0.00
1039.0,0.00
1049.7,0.00
1064.0,0.00
1079.1,0.01
1090.4,0.01
1102.9,0.01
1115.4,0.01
1127.9,0.01
1140.4,0.01
1151.2,0.01
1162.4,0.01
1175.0,0.01
1183.9,0.00
1189.3,0.01
1201.8,0.01
