Wavelength (nm),Transmission (fraction)
315.7,0.01
324.3,0.06
324.6,0.04
328.1,0.10
329.3,0.07
330.5,0.11
330.5,0.14
333.0,0.15
334.2,0.18
334.2,0.20
336.7,0.24
336.7,0.22
339.2,0.28
341.7,0.32
344.2,0.35
346.4,0.39
348.9,0.42
351.6,0.46
354.1,0.49
355.3,0.51
359.0,0.53
361.9,0.56
369.8,0.59
376.6,0.62
381.7,0.63
388.8,0.66
393.7,0.69
405.2,0.72
408.6,0.74
423.3,0.76
436.7,0.78
450.4,0.80
471.8,0.82
499.1,0.84
526.3,0.84
553.6,0.84
569.2,0.83
593.2,0.82
620.5,0.81
632.3,0.80
655.2,0.80
682.4,0.79
709.7,0.77
734.5,0.76
758.0,0.74
774.1,0.72
801.4,0.69
813.0,0.68
832.8,0.66
854.9,0.63
873.3,0.61
886.2,0.59
905.5,0.57
935.2,0.54
950.1,0.52
971.2,0.50
999.7,0.47
1019.5,0.46
1041.8,0.44
1066.6,0.42
1089.7,0.40
1116.1,0.38
1133.6,0.37
1153.3,0.36
1180.6,0.34
1207.8,0.33
1240.1,0.31
1267.3,0.29
1297.1,0.28
1326.4,0.27
1351.6,0.26
1381.3,0.25
1408.6,0.24
1435.8,0.23
1465.6,0.22
1492.8,0.21
1510.8,0.21
1531.5,0.20
1569.7,0.19
1596.9,0.18
1624.2,0.18
1651.5,0.17
1677.5,0.16
1706.0,0.16
1740.7,0.15
1775.4,0.14
1803.6,0.14
1829.9,0.13
1854.7,0.13
1885.3,0.12
1912.1,0.12
1941.4,0.11
1969.2,0.11
1995.9,0.11
2023.5,0.10
2051.5,0.10
2077.7,0.10
2105.0,0.09
2134.7,0.09
2162.0,0.08
2185.6,0.08
2218.4,0.08
2243.8,0.08
2261.1,0.08
2276.9,0.07
2295.8,0.07
2325.9,0.07
2350.3,0.07
2377.6,0.06
2396.2,0.06
