Wavelength (nm),Transmission (fraction)
303.6,0.05
324.4,0.06
332.7,0.11
336.6,0.09
336.8,0.13
340.9,0.16
345.0,0.18
349.2,0.21
353.3,0.24
365.5,0.26
369.7,0.29
377.8,0.31
377.9,0.34
378.0,0.36
378.1,0.38
378.2,0.40
382.3,0.41
386.3,0.43
386.4,0.45
386.5,0.47
390.6,0.49
394.7,0.51
394.9,0.55
395.0,0.57
398.9,0.53
403.1,0.58
403.1,0.59
403.2,0.61
407.3,0.62
407.3,0.64
407.5,0.69
411.5,0.66
415.7,0.71
419.8,0.72
419.8,0.74
423.9,0.75
424.0,0.77
432.1,0.78
432.2,0.80
432.7,0.79
439.7,0.81
444.4,0.83
452.5,0.85
456.6,0.86
463.2,0.87
478.4,0.89
501.8,0.91
532.0,0.92
562.1,0.91
592.3,0.91
622.4,0.90
649.7,0.88
670.4,0.86
693.1,0.84
713.3,0.83
729.0,0.81
743.9,0.79
756.5,0.77
772.4,0.76
787.6,0.73
800.2,0.72
812.2,0.70
825.8,0.68
839.4,0.66
848.6,0.65
854.1,0.63
866.6,0.61
878.9,0.59
891.3,0.57
905.9,0.56
920.1,0.54
935.9,0.52
947.4,0.50
964.4,0.48
977.4,0.47
993.3,0.45
1008.5,0.43
1023.6,0.42
1039.7,0.40
1056.5,0.38
1074.1,0.37
1091.8,0.35
1114.8,0.33
1141.1,0.32
1164.3,0.30
1188.9,0.28
1216.3,0.27
1245.0,0.25
1275.1,0.23
1305.2,0.22
1335.3,0.21
1365.4,0.20
1396.6,0.18
1425.7,0.17
1455.8,0.16
1485.9,0.15
1516.1,0.14
1546.2,0.14
1576.3,0.13
1606.5,0.12
1636.6,0.12
1666.8,0.11
1696.9,0.11
1727.1,0.10
1757.2,0.10
1787.3,0.09
1817.5,0.09
1847.7,0.09
1877.8,0.08
1908.0,0.08
1938.1,0.08
1968.3,0.08
1998.4,0.07
2028.6,0.07
2058.7,0.07
2088.9,0.07
2119.0,0.06
2149.2,0.06
2179.4,0.06
2209.5,0.06
2239.7,0.06
2269.8,0.05
2300.0,0.05
2330.2,0.05
2360.3,0.05
2390.5,0.05
2420.6,0.05
2450.8,0.05
2480.9,0.05
2498.8,0.05
