Wavelength (nm),Transmission (%)
309.6,0.07
328.9,0.28
334.8,1.57
337.2,3.33
337.2,2.55
338.1,4.27
339.1,5.78
340.1,9.62
340.1,7.20
341.1,11.04
341.1,8.09
343.1,12.58
344.0,16.03
344.0,15.00
344.0,13.96
344.4,17.59
345.0,19.05
346.0,19.91
348.0,21.43
348.0,24.93
348.0,23.90
349.0,22.86
349.6,26.46
349.9,28.83
349.9,27.80
350.9,30.36
350.9,31.67
351.9,33.58
351.9,32.57
352.6,35.08
352.9,36.09
353.9,37.97
353.9,36.94
354.3,39.41
354.9,41.67
354.9,40.88
356.5,43.08
356.8,44.11
358.2,45.43
358.8,46.90
358.8,49.25
360.2,48.17
361.7,50.49
362.7,51.78
364.7,52.99
366.7,54.43
370.3,55.78
376.8,57.07
389.3,58.35
408.0,58.91
429.6,58.73
451.2,58.32
472.9,57.73
494.5,57.16
516.2,56.67
537.8,56.30
559.4,56.03
581.1,55.86
602.7,55.73
624.4,55.64
646.0,55.55
667.6,55.44
689.3,55.28
710.9,54.99
732.5,54.61
754.2,54.05
775.8,53.39
797.5,52.54
819.1,51.52
839.7,50.46
858.4,49.42
875.2,48.38
890.9,47.34
905.6,46.38
920.4,45.35
935.2,44.27
949.9,43.24
964.7,42.23
978.4,41.22
992.2,40.20
1006.0,39.19
1019.7,38.20
1033.5,37.22
1047.3,36.25
1062.0,35.25
1077.8,34.21
1094.5,33.17
1110.2,32.14
1125.0,31.12
1140.7,30.09
1157.4,29.05
1175.1,28.00
1193.8,26.92
1213.5,25.87
1233.2,24.89
1253.8,23.83
1275.5,22.88
1297.1,21.93
1318.7,21.04
1340.4,20.19
1362.0,19.40
1383.6,18.64
1405.3,17.92
1406.3,57.13
1426.9,17.27
1448.6,16.65
1470.2,16.08
1491.8,15.51
1513.5,14.97
1535.1,14.45
1556.8,13.95
1578.4,13.49
1600.0,13.03
1621.7,12.60
1643.3,12.19
1664.9,11.79
1686.6,11.40
1708.2,11.04
1729.9,10.68
1751.5,10.36
1773.1,10.02
1794.8,9.70
1816.4,9.39
1838.0,9.11
1859.7,8.84
1881.3,8.59
1903.0,8.32
1924.6,8.08
1946.2,7.85
1967.9,7.63
1989.5,7.42
2011.1,7.21
2032.8,7.00
2054.4,6.84
2076.1,6.65
2097.7,6.48
2119.3,6.31
2141.0,6.13
2162.6,5.95
2184.3,5.75
2205.9,5.56
2227.5,5.42
2249.2,5.30
2270.8,5.18
2292.4,5.07
2314.1,4.94
2335.7,4.84
2357.4,4.70
2379.0,4.62
2400.6,4.49
2422.3,4.39
2443.9,4.27
2465.5,4.11
2487.2,4.02
2508.8,3.91
2530.5,3.82
2552.1,3.72
2573.7,3.59
2595.4,3.46
2617.0,3.40
2638.6,3.31
2660.3,3.19
2681.9,3.04
2703.6,2.77
2725.2,2.11
2746.8,1.31
2768.5,0.75
2790.1,0.48
