Wavelength (nm) ,Transmission (%)
345.2,0.68
373.3,3.63
394.3,8.44
406.8,12.26
431.4,15.60
456.1,20.67
476.8,24.52
496.4,28.16
501.4,31.86
507.3,35.43
521.8,38.88
538.2,43.62
550.5,47.90
568.6,51.11
579.4,53.68
596.6,55.88
607.8,57.92
624.6,60.88
669.7,62.46
737.6,62.68
771.6,61.31
817.0,59.04
856.7,56.76
902.0,54.94
947.4,53.34
981.4,50.84
1015.4,49.93
1032.4,49.24
1083.4,47.42
1123.1,46.05
1168.4,45.36
1202.4,44.22
1219.5,41.72
1259.0,42.86
1326.8,43.76
1377.8,43.30
1406.1,41.70
1428.9,39.66
1445.9,38.06
1485.4,39.20
1513.6,41.92
1575.7,43.28
1637.8,44.63
1677.4,44.40
1694.5,42.36
1700.3,39.86
1711.8,36.90
1712.0,33.26
1746.0,31.90
1774.2,33.71
1785.3,36.66
1813.5,39.16
1858.6,40.29
1875.6,40.97
1903.8,41.43
1915.2,40.29
1954.7,41.19
1988.6,43.23
2033.9,41.64
2056.6,39.36
2085.0,38.22
2113.1,40.49
2158.3,41.63
2203.6,40.71
2249.0,37.75
2254.9,33.43
2260.7,30.48
2260.9,26.84
2278.1,23.43
2283.9,20.70
2284.1,16.84
2290.0,13.66
2295.7,11.84
2295.9,8.88
2307.4,6.16
2341.2,7.52
2346.8,9.56
2400.3,10.91
