Wavelength (nm),Transmission (%)
353.0,6.95
358.5,8.73
367.4,10.47
378.4,12.48
382.5,14.01
394.8,16.03
405.8,17.05
410.3,18.38
429.2,20.58
434.5,21.89
452.3,26.53
457.8,25.36
473.6,29.67
476.9,30.90
487.0,33.97
488.3,35.62
498.5,38.33
498.8,41.88
504.9,43.28
505.6,40.28
513.9,45.77
516.9,44.41
530.1,51.84
530.2,49.54
539.9,55.63
545.4,53.70
550.9,57.03
564.5,58.49
567.3,60.53
585.3,62.22
593.7,63.61
618.9,65.69
638.5,66.34
671.9,65.07
689.1,63.62
696.0,61.75
706.4,60.36
722.8,58.93
737.0,57.20
755.8,56.11
813.7,52.79
835.6,51.81
890.3,48.52
912.2,47.44
969.7,44.15
994.3,43.13
1103.8,40.24
1139.4,40.03
1298.2,42.22
1333.8,42.94
1446.0,45.53
1481.6,46.29
1613.0,48.22
1656.8,48.61
1826.6,48.66
1878.6,48.39
2051.0,46.95
2097.6,46.49
2248.1,44.83
2294.7,44.40
2450.7,42.65
2486.3,42.22
