Wavelength (nm) ,Transmission (%)
356.6,1.34
395.6,2.59
430.3,4.01
459.7,7.07
470.2,9.08
479.9,11.56
492.2,15.92
496.6,23.41
499.2,19.50
522.3,27.51
522.5,31.25
533.2,33.63
545.5,38.65
557.7,42.68
580.1,46.74
594.1,49.93
608.8,54.21
620.3,56.88
654.3,55.70
670.9,52.88
699.1,50.47
707.7,48.07
721.4,44.09
741.1,40.13
810.3,35.38
912.5,37.53
998.9,41.95
1096.6,46.59
1194.7,51.35
1280.8,56.06
1360.9,60.99
1438.3,65.70
1538.8,70.75
1645.0,74.00
1729.9,75.04
1820.7,74.85
1904.3,72.99
2007.9,70.22
2115.5,67.36
2229.3,64.24
2338.6,61.85
2421.5,60.35
2482.0,59.07
