Wavelength (nm) ,Transmission (%)
367.8,1.34
397.6,3.04
447.0,4.81
468.9,7.22
493.1,12.64
509.3,17.13
515.6,20.30
525.7,23.57
532.9,26.44
542.0,29.69
554.2,34.78
561.8,37.39
562.0,40.33
566.7,43.92
606.8,47.97
619.1,50.47
660.0,53.19
692.3,49.14
718.2,46.60
766.4,40.92
834.5,35.38
904.2,30.23
995.4,25.08
1094.8,22.63
1182.3,22.60
1283.6,24.26
1350.8,25.64
1397.5,27.34
1446.9,28.84
1497.2,30.21
1602.6,32.79
1676.5,33.90
1760.2,34.40
1825.2,34.18
1913.0,33.33
2032.3,31.42
2117.3,29.81
2217.4,27.62
2281.7,26.44
2341.2,25.25
2419.4,23.78
2479.8,22.72
