Wavelength (nm),Transmission (%)
59.9,1.81
66.2,3.05
72.4,4.49
76.0,6.47
86.2,8.28
96.5,10.27
109.2,11.70
123.9,13.17
138.6,14.49
152.5,15.96
166.9,17.26
179.4,18.75
191.9,20.43
203.7,22.11
212.8,23.59
219.1,25.02
227.6,26.59
247.2,29.90
256.1,31.14
269.5,32.59
278.4,33.92
288.2,35.40
302.0,36.87
318.5,38.58
334.5,40.00
352.4,41.41
369.5,42.94
391.4,44.24
410.3,45.46
429.1,46.56
451.6,47.44
470.4,48.06
489.7,48.52
508.3,48.90
529.6,49.13
548.5,49.50
565.9,49.67
596.7,49.78
644.8,50.03
664.4,50.01
684.7,50.03
703.7,50.27
723.3,50.53
741.3,50.55
774.3,50.68
816.0,50.92
835.6,51.24
852.6,51.40
874.2,51.66
903.4,51.89
922.1,52.31
945.7,52.61
971.2,52.84
987.2,53.22
1012.2,53.55
1031.8,53.86
1051.1,54.25
1078.9,54.68
1097.5,55.05
1122.7,55.51
1140.0,55.93
1165.5,56.50
1185.5,56.88
1206.0,57.31
1222.4,57.71
1246.5,58.11
1261.8,58.54
1287.4,59.01
1304.6,59.37
1327.4,59.89
1343.0,60.32
1367.6,60.81
1384.6,61.22
1408.1,61.64
1425.7,62.19
1447.3,62.55
1465.1,63.01
1488.3,63.43
1506.1,63.85
1532.9,64.37
1550.7,64.84
1573.3,65.15
1591.7,65.62
1612.9,65.96
1631.0,66.30
1647.3,66.74
1670.5,66.94
1689.8,67.40
1712.6,67.77
1724.6,68.22
1738.0,69.33
1767.2,69.63
1786.1,70.03
1802.1,70.30
1827.1,70.55
1846.7,70.91
1863.7,71.18
1886.7,71.38
1905.6,71.78
1922.5,72.12
1953.7,72.28
1973.3,72.66
1993.0,72.98
2012.3,73.11
2032.2,73.24
2051.8,73.53
2071.4,73.91
2086.0,73.95
2119.0,74.06
2137.4,74.06
2154.3,74.04
2173.7,74.08
2182.5,74.08
2203.4,74.07
2223.0,74.31
2242.6,74.66
2256.0,74.81
2287.2,75.00
2306.8,75.30
2326.4,75.53
2346.0,75.73
2357.6,75.73
2408.4,75.88
2428.1,75.86
2447.7,75.86
2467.3,75.86
2486.9,75.86
2498.5,75.86
