Wavelength (nm),Transmission (%)
53.7,0.76
67.1,3.89
70.6,5.22
79.5,8.69
86.7,9.92
107.2,13.90
117.0,14.95
154.4,18.16
167.8,19.33
202.6,23.30
212.4,24.46
235.6,28.08
244.5,29.31
264.1,32.52
272.1,33.85
291.7,37.54
299.8,38.68
323.0,42.52
331.9,43.68
362.2,47.21
372.0,48.38
407.7,51.54
422.8,52.38
470.1,54.81
487.0,55.28
536.1,55.60
552.1,55.60
602.0,54.77
618.1,54.49
669.8,53.32
685.0,52.96
730.4,51.48
744.7,51.12
794.6,49.76
811.6,49.32
860.6,47.71
876.6,47.29
926.6,45.70
942.6,45.24
981.9,44.14
997.9,43.71
1047.8,42.31
1063.9,41.89
1113.8,40.59
1129.9,40.34
1181.6,39.02
1197.6,38.72
1247.6,37.69
1263.6,37.39
1313.5,36.39
1329.6,36.19
1377.7,35.26
1394.7,35.10
1447.3,34.16
1463.3,34.00
1511.5,33.27
1528.4,33.10
1577.5,32.40
1593.5,32.40
1643.4,31.65
1659.5,31.50
1711.2,31.12
1724.6,31.30
1752.2,31.05
1768.3,31.05
1820.0,30.36
1836.9,30.15
1886.0,29.70
1902.0,29.70
1951.9,28.99
1968.0,28.99
2017.9,28.60
2034.0,28.60
2085.7,28.09
2101.7,28.09
2151.7,27.66
2167.7,27.45
2215.9,27.00
2232.8,27.00
2281.8,26.80
2297.9,26.79
2351.4,26.29
2367.4,26.29
2415.6,25.90
2432.5,25.90
2481.6,25.65
2494.0,25.65
