Wavelength (nm),Transmission (fraction)
307.7,0.02
319.2,0.02
330.7,0.03
340.5,0.04
349.6,0.05
357.7,0.06
363.3,0.07
370.2,0.08
376.4,0.09
379.8,0.1
385.7,0.11
390,0.12
392.2,0.13
401.8,0.16
406.8,0.17
409.5,0.17
411.8,0.18
414.3,0.2
417.9,0.21
420.3,0.22
422.4,0.23
424.1,0.24
427,0.25
430.2,0.27
432.4,0.28
434.4,0.29
436.6,0.3
440,0.31
441.7,0.33
444.7,0.34
446.1,0.35
448.1,0.36
451,0.37
453.8,0.39
455.5,0.4
458,0.41
459.9,0.42
461.9,0.43
464.1,0.44
466.9,0.46
469.5,0.47
472.5,0.48
475.5,0.49
478.1,0.51
480.6,0.52
482.3,0.53
485.4,0.54
488.8,0.55
491.5,0.56
495.4,0.57
499.1,0.58
501.8,0.59
504.9,0.6
508,0.62
513.9,0.63
519.3,0.63
525.2,0.64
531.6,0.66
537.4,0.66
544.7,0.68
553.3,0.68
563.6,0.69
574.9,0.7
586.9,0.71
598.8,0.71
610.7,0.72
622.6,0.72
634.6,0.72
646.5,0.72
658.4,0.72
670.4,0.72
682.3,0.72
694.3,0.72
706.2,0.72
718.2,0.72
730.1,0.72
742,0.72
754,0.72
765.9,0.72
777.9,0.72
789.8,0.71
801.8,0.71
813.7,0.71
825.6,0.71
837.6,0.71
849.5,0.71
861.5,0.71
873.4,0.71
885.3,0.71
897.3,0.71
909.2,0.71
921.2,0.72
933.1,0.72
945,0.72
957,0.72
968.9,0.72
980.8,0.73
992.8,0.73
1004.7,0.73
1016.6,0.73
1028.5,0.73
1040.5,0.74
1052.4,0.74
1064.3,0.74
1076.3,0.74
1088.2,0.75
1100.1,0.75
1112.1,0.75
1124,0.75
1135.9,0.75
1147.9,0.76
1159.8,0.76
1171.7,0.76
1183.7,0.76
1195.6,0.76
1207.5,0.77
1219.5,0.77
1231.4,0.77
1243.3,0.77
1255.3,0.77
1267.2,0.77
1279.1,0.78
1291.1,0.78
1303,0.78
1314.9,0.78
1326.9,0.78
1338.8,0.78
1350.7,0.78
1362.7,0.78
1374.6,0.78
1386.6,0.78
1398.5,0.78
1410.4,0.79
1422.4,0.79
1434.3,0.79
1446.2,0.8
1458.1,0.8
1470.1,0.8
1482,0.8
1493.9,0.81
1505.9,0.81
1517.8,0.81
1529.7,0.81
1541.7,0.81
1553.6,0.82
1565.5,0.82
1577.5,0.82
1589.4,0.82
1601.3,0.82
1613.3,0.82
1625.2,0.83
1637.1,0.83
1649.1,0.83
1661,0.83
1672.9,0.83
1684.9,0.83
1696.8,0.83
1708.7,0.84
1720.7,0.84
1732.6,0.84
1744.5,0.84
1756.5,0.84
1768.4,0.84
1780.4,0.84
1792.3,0.84
1804.2,0.84
1816.2,0.84
1828.1,0.85
1840,0.85
1852,0.85
1863.9,0.85
1875.9,0.85
1887.8,0.85
1899.7,0.85
1911.7,0.85
1923.6,0.85
1935.5,0.85
1947.5,0.85
1959.4,0.85
1971.4,0.85
1983.3,0.85
1995.2,0.85
2007.2,0.85
2019.1,0.85
2031.1,0.85
2043,0.85
2054.9,0.85
2066.9,0.85
2078.8,0.85
2090.8,0.85
2102.7,0.85
2114.7,0.85
2126.6,0.84
2138.6,0.84
2150.5,0.84
2162.5,0.83
2174.4,0.83
2186.4,0.83
2198.3,0.82
2210.3,0.82
2222.2,0.82
2234.2,0.82
2246.1,0.83
2258,0.83
2269.9,0.83
2281.9,0.83
2293.8,0.83
2305.8,0.83
2317.7,0.83
2329.6,0.83
2341.6,0.83
2353.6,0.82
2365.5,0.82
2377.5,0.81
2389.5,0.8
2397.1,0.8
