Wavelength(nm),Transmission (fraction)
307.2,0
322.1,0
334.1,0.01
341.7,0.02
349.1,0.03
356.2,0.04
364.6,0.05
369.6,0.06
382.3,0.07
392.5,0.08
398.2,0.09
407.4,0.11
415.1,0.13
419.3,0.15
419.8,0.14
424.3,0.15
427.4,0.17
429.4,0.17
431.7,0.19
433.5,0.19
440.5,0.21
447.8,0.23
451.2,0.25
451.6,0.25
455.6,0.29
459.1,0.27
462.4,0.29
465.8,0.31
466.4,0.32
468.6,0.33
469.8,0.34
473.9,0.36
476.7,0.35
479.3,0.37
485.2,0.39
487.9,0.39
490,0.41
494.9,0.41
497.4,0.43
503.8,0.45
507.8,0.47
515.9,0.48
517.1,0.49
527.9,0.51
531.1,0.51
539.1,0.53
542,0.53
553,0.55
560.9,0.55
579.5,0.56
588.9,0.57
610,0.57
622.9,0.57
640.6,0.56
652.9,0.56
668.9,0.55
679.1,0.54
695.6,0.53
700.3,0.52
710.3,0.52
716.4,0.51
732.8,0.49
737.4,0.49
748.6,0.48
755.7,0.47
762.7,0.46
770.8,0.45
780,0.44
783,0.43
790.3,0.42
793.9,0.41
807.7,0.4
811.7,0.4
822.2,0.38
831,0.38
836.8,0.36
839.7,0.36
850.5,0.35
857.4,0.34
864.2,0.33
867.6,0.32
877.2,0.31
884.4,0.3
893.8,0.29
898.8,0.28
909.8,0.27
916.1,0.27
926.2,0.25
933.2,0.25
946,0.24
959.1,0.23
966.3,0.22
976.6,0.21
990,0.2
1000.6,0.2
1012,0.19
1023.8,0.18
1036.9,0.17
1047,0.17
1063.2,0.16
1075.9,0.16
1093.8,0.15
1105.6,0.15
1122.7,0.14
1136.6,0.14
1155.8,0.13
1167.5,0.13
1187.6,0.12
1201.6,0.12
1216.1,0.12
1229.6,0.11
1239.1,0.11
1260.1,0.11
1272.8,0.11
1290.7,0.11
1304.6,0.11
1328.8,0.11
1342.8,0.1
1356.8,0.1
1370.8,0.1
1380.8,0.1
1402.3,0.1
1416,0.1
1432.3,0.1
1445.9,0.1
1457.6,0.1
1473.9,0.1
1487.8,0.1
1503.4,0.1
1516.9,0.1
1527.3,0.1
1546.4,0.1
1560.4,0.1
1575.7,0.1
1588.1,0.1
1598.5,0.1
1618.9,0.09
1632,0.09
1658.6,0.09
1670.6,0.09
1687.6,0.09
1701.6,0.09
1716.3,0.09
1729.6,0.09
1742.9,0.09
1763.9,0.09
1776.9,0.09
1794,0.09
1805.9,0.08
1814.8,0.08
1835.2,0.08
1847.2,0.08
1867.7,0.08
1881,0.08
1895.4,0.08
1908.9,0.08
1921.7,0.08
1942,0.08
1954.7,0.08
1970,0.08
1984,0.08
1996.5,0.08
2016.7,0.07
2027.8,0.07
2057.8,0.07
2069.5,0.07
2085.8,0.07
2099.8,0.07
2125.2,0.07
2135.4,0.07
2156.7,0.06
2169.9,0.06
2187.6,0.06
2202.1,0.06
2229.4,0.06
2243.5,0.06
2263.4,0.06
2275.3,0.06
2299.5,0.06
2311.6,0.06
2328.8,0.06
2342.7,0.05
2354.5,0.05
2370.8,0.05
2384.1,0.05
2400.7,0.05
2405.1,0.05
