Wavelength (nm) ,Transmission (%)
241.9,4.38
301.7,5.09
348.6,6.48
376.0,7.64
387.7,10.42
394.3,13.58
414.8,17.15
430.4,19.93
442.0,23.18
449.7,26.89
457.4,29.90
465.1,33.15
468.9,37.33
469.0,35.24
476.6,39.41
480.5,41.50
483.3,43.60
496.0,46.37
499.2,48.52
511.5,50.78
518.3,53.22
530.9,55.42
540.7,57.68
558.1,60.06
569.5,62.01
601.0,64.92
614.4,66.73
640.1,68.40
678.7,69.03
722.3,69.32
749.5,69.04
820.4,68.29
875.1,67.87
922.2,67.91
965.3,68.37
1000.5,68.83
1032.8,69.62
1067.1,70.21
1103.6,71.17
1137.5,72.29
1174.4,73.12
1211.9,73.91
1241.5,75.09
1290.1,76.40
1329.3,77.61
1368.5,79.00
1407.6,80.16
1438.9,81.31
1476.0,82.08
1517.2,82.93
1547.4,83.76
1572.0,84.55
1618.2,85.31
1654.2,85.93
1689.0,86.55
1720.8,87.09
1759.8,87.71
1830.6,88.50
1869.6,89.39
1901.4,89.44
1972.2,90.10
2006.7,90.30
2043.0,90.80
2113.8,91.33
2184.6,91.31
2222.2,91.21
2255.5,91.58
2292.6,92.13
2326.3,92.40
2374.9,92.82
2397.1,92.62
2429.8,92.81
2464.7,92.47
