Wavelength  (nm) ,Transmission (%)
219.5,3.25
249.8,4.86
297.7,7.41
332.9,8.80
380.9,11.71
414.9,14.36
418.7,17.15
442.1,20.39
453.8,23.41
458.2,26.68
474.1,32.40
480.7,35.24
489.9,38.64
502.7,42.16
518.5,47.88
531.0,51.94
554.4,56.34
562.1,58.43
581.6,60.98
602.4,63.69
680.0,64.23
722.6,62.13
759.5,59.74
797.3,56.55
829.8,54.89
884.2,50.97
947.9,47.20
989.7,45.63
1026.3,43.73
1105.9,40.90
1188.6,39.10
1264.8,37.83
1342.1,37.00
1412.8,36.58
1495.6,36.15
1573.8,36.22
1654.9,36.48
1733.4,36.85
1815.8,37.53
1888.7,37.94
1964.5,38.87
2052.5,39.12
2134.1,39.71
2216.1,40.06
2288.0,40.74
2366.9,41.70
2437.7,42.12
2486.0,42.35
