Wavelength (nm),Transmission (%)
249.8,0
288.4,0.27
319.9,0.54
323.4,2.12
330.3,4.76
337.1,10.83
337.2,7.4
344,13.2
350.9,16.37
361.3,19.54
375.3,21.39
382.2,23.5
396.1,26.4
406.5,29.31
420.4,32.47
437.8,35.38
451.8,38.02
462.2,41.19
476.1,43.83
486.5,46.99
500.4,49.9
510.8,52.54
528.3,55.44
556.2,57.03
591.3,57.56
619.3,59.15
650.8,60.21
664.8,59.94
689.3,59.15
720.9,58.1
738.5,56.79
756.1,55.2
777.2,53.62
812.3,51.25
847.4,49.15
893,47.57
935.1,45.73
987.8,43.62
1029.9,42.31
1075.5,40.47
1128.1,38.89
1184.3,37.58
1250.9,35.74
1335.1,32.85
1401.8,30.74
1461.4,28.64
1528.1,25.74
1591.3,24.17
1647.4,22.59
1731.6,19.17
1794.8,17.07
1864.9,16.02
1945.6,14.18
2040.3,12.61
2135,10.78
2236.7,9.2
2289.2,8.95
2341.8,8.16
2383.9,7.64
2411.9,7.64
2447,6.85
2471.6,6.59
2478.6,5.54
