Wavelength (nm) ,Transmission (%)
340.6,1.00
362.4,1.69
397.0,2.69
414.4,4.00
427.8,5.27
440.3,7.17
447.7,8.89
456.6,10.84
462.6,12.59
468.6,14.34
474.5,16.09
482.0,18.18
488.0,20.14
493.9,22.06
501.4,23.94
507.3,25.66
511.8,27.74
517.8,29.59
523.8,31.15
529.7,32.73
534.2,34.08
541.7,36.20
549.1,38.07
558.1,39.91
568.5,41.38
581.9,42.94
605.8,44.65
626.7,45.19
632.2,44.33
650.7,45.00
656.5,43.77
680.2,43.67
691.3,42.67
709.7,40.83
709.7,42.00
743.0,40.50
755.0,39.88
778.8,39.26
805.7,38.33
827.9,37.67
835.2,36.00
838.9,37.33
850.0,36.33
851.8,37.30
853.7,38.33
868.5,37.33
875.8,38.50
880.3,37.57
886.9,36.83
899.7,36.37
920.1,35.67
936.9,35.97
969.8,35.86
1003.2,35.78
1035.4,35.85
1068.2,35.98
1100.3,36.14
1133.8,36.54
1166.7,36.91
1199.5,37.31
1232.3,37.88
1264.5,38.43
1300.9,39.09
1332.4,39.73
1366.6,40.42
1399.4,41.13
1431.2,41.87
1465.0,42.63
1499.0,43.48
1530.6,44.30
1566.4,45.18
1598.9,45.93
1633.0,46.75
1664.9,47.50
1698.3,48.43
1730.5,49.34
1762.5,50.24
1799.5,51.24
1830.5,51.96
1864.8,52.92
1897.6,53.51
1930.7,54.19
1963.2,55.34
1994.5,56.13
2028.6,56.94
2061.7,57.45
2093.6,57.87
2112.4,58.33
2127.3,58.87
2160.1,59.49
2192.6,60.26
2228.7,60.37
2261.6,61.40
2271.1,62.17
2291.4,62.83
2324.2,62.92
2357.0,63.55
2389.8,64.74
2404.0,64.50
2421.2,65.29
2445.3,66.10
2448.3,65.00
2466.1,65.04
2489.8,66.57
