Wavelength (nm),Transmission (%)
364.1,1.41
384.9,1.67
399.9,2.71
422.3,4.52
432.8,5.72
444.0,6.17
455.0,7.17
470.1,9.76
480.5,12.69
488.0,14.19
493.9,16.25
499.9,17.74
511.8,21.48
525.2,25.12
537.2,28.15
541.7,29.98
549.1,31.82
559.6,33.97
573.0,35.52
594.2,37.26
619.2,38.17
650.5,38.52
680.2,38.67
688.9,37.97
706.0,37.67
727.4,36.75
757.9,35.32
787.8,33.58
811.6,32.31
824.2,31.17
835.2,29.83
838.5,30.50
857.4,30.83
867.7,29.62
875.8,28.33
889.2,29.70
892.6,28.22
915.2,26.04
949.5,24.65
978.7,23.26
1007.1,21.74
1038.4,20.49
1071.2,19.29
1104.0,18.11
1136.8,17.10
1169.6,16.16
1202.5,15.31
1235.3,14.54
1268.1,13.91
1300.9,13.34
1334.9,12.72
1364.2,12.33
1399.4,11.84
1430.7,11.48
1463.5,11.14
1497.8,10.85
1527.3,10.61
1566.4,10.34
1597.0,10.06
1635.1,9.78
1667.9,9.66
1701.3,9.32
1732.5,9.27
1765.1,9.14
1799.1,9.01
1832.0,8.84
1867.8,8.68
1900.6,8.57
1932.2,8.56
1966.2,8.26
1999.0,8.25
2033.9,8.15
2049.7,7.83
2071.3,8.42
2082.9,8.17
2101.9,8.00
2119.8,8.33
2132.9,8.04
2169.1,7.98
2199.7,8.50
2212.1,7.83
2232.1,7.67
2252.7,7.50
2266.0,8.17
2300.3,8.16
2322.8,8.50
2332.0,7.96
2362.3,7.46
2389.5,7.24
2421.2,8.26
2437.2,9.83
2449.5,8.98
2463.1,8.00
2476.0,7.23
2497.2,7.67
