Wavelength (nm) ,Transmission (%)
325.4,10.32
330.4,13.54
332.5,15.97
339.2,18.02
342.7,20.80
348.6,23.92
354.1,26.49
358.7,28.76
364.3,31.14
370.7,33.51
378.0,35.87
384.4,38.22
389.9,40.28
395.4,42.43
401.0,44.52
406.5,46.48
412.0,48.48
417.5,50.60
423.0,52.69
428.5,54.87
434.0,57.05
439.5,59.22
445.0,61.16
451.4,63.11
461.5,65.22
477.9,67.18
498.0,68.78
518.0,70.01
538.1,70.65
558.1,70.54
578.1,69.96
598.1,69.43
618.1,68.95
638.2,68.99
658.2,69.08
678.2,69.48
698.3,69.99
718.3,70.16
738.3,70.14
758.4,69.97
778.4,69.88
798.4,69.67
818.4,69.15
838.4,68.73
858.5,67.69
878.5,66.65
898.5,65.83
918.5,65.09
934.8,63.41
946.6,61.34
958.4,59.05
974.8,57.52
994.8,57.69
1014.8,58.71
1034.9,59.65
1054.9,59.78
1074.9,59.03
1094.9,57.37
1112.2,55.39
1123.1,53.62
1130.3,51.56
1136.6,49.18
1141.7,46.64
1147.9,44.17
1155.6,41.83
1166.5,39.60
1183.7,37.81
1203.7,36.55
1223.7,35.89
1243.8,35.37
1263.8,34.49
1280.1,33.20
1295.5,30.50
1307.3,28.36
1317.3,25.87
1326.3,23.41
1334.5,21.28
1343.5,19.01
1352.6,17.07
1361.7,15.02
1370.7,12.61
1378.9,10.19
1387.0,7.80
1401.5,5.57
1421.5,4.87
1441.6,4.93
1461.6,4.87
1481.6,4.90
1496.2,5.02
