Wavelength (nm),Transmission (%)
320.0,0.88
333.3,2.11
337.7,4.21
344.4,6.83
346.6,8.76
351.0,13.84
351.0,11.04
355.5,17.69
355.5,15.94
357.7,21.01
357.7,19.44
362.1,24.87
362.1,23.47
362.1,22.07
364.3,27.67
364.3,26.27
366.6,29.07
368.8,32.22
368.8,30.12
375.4,35.55
377.6,37.65
379.9,39.57
382.1,43.95
382.1,41.67
386.5,45.88
391.0,47.28
395.4,50.60
395.4,48.85
404.3,52.88
406.5,54.28
415.4,56.38
419.8,58.13
430.9,59.89
435.3,61.29
439.8,62.51
448.6,64.79
459.7,66.37
466.4,67.59
470.8,68.47
479.7,69.70
488.6,71.10
504.1,72.33
521.8,73.38
532.9,74.08
544.0,74.26
559.6,74.43
583.4,74.33
596.2,74.05
609.0,73.90
621.8,73.85
634.6,73.62
647.4,73.38
660.2,73.31
673.0,73.47
685.8,73.56
698.6,73.44
711.4,73.41
724.2,73.49
737.0,73.77
749.8,73.94
762.6,73.96
775.4,73.88
788.2,73.93
798.3,74.32
804.5,75.19
817.3,75.19
830.1,75.11
842.9,74.94
855.7,74.74
868.5,74.58
881.3,74.49
894.1,74.43
906.9,74.28
919.7,74.24
932.5,74.09
945.3,73.98
958.1,73.84
970.9,73.68
983.7,73.53
996.5,73.38
1009.3,73.23
1022.1,73.05
1034.9,72.89
1047.7,72.73
1060.6,72.57
1073.4,72.42
1086.2,72.36
1099.0,72.26
1111.8,72.12
1124.6,71.97
1137.4,71.74
1150.2,71.43
1163.0,71.11
1175.8,70.68
1188.6,70.22
1201.4,70.24
1214.2,70.29
1227.0,70.42
1239.8,70.49
1252.6,70.55
1265.4,70.62
1278.2,70.67
1291.0,70.70
1303.8,70.71
1316.6,70.65
1329.4,70.55
1342.2,70.38
1355.0,70.14
1367.8,69.90
1380.6,69.52
1393.4,68.90
1405.0,68.05
1416.7,67.03
1429.5,66.31
1442.3,66.21
1455.1,66.32
1467.9,66.69
1480.7,67.16
1493.5,67.62
1506.3,68.05
1519.1,68.34
1531.9,68.52
1544.7,68.57
1557.5,68.57
1570.3,68.57
1583.1,68.74
1594.1,68.92
