Wavelength (nm),Transmission (%)
341.6,2.56
377.5,3.29
406.9,4.84
436.3,6.91
472.3,4.67
508.3,4.04
544.2,3.91
580.2,4.01
616.1,4.29
652.1,5.00
688.0,6.00
723.9,7.32
759.8,8.26
795.9,6.53
831.9,5.38
867.8,5.37
903.7,6.53
934.7,9.08
959.1,11.97
980.3,15.15
999.8,18.52
1017.6,21.60
1033.9,24.56
1050.1,27.67
1066.3,30.85
1082.6,33.97
1100.4,37.02
1120.0,39.93
1142.7,42.96
1167.1,46.16
1194.8,49.24
1229.1,51.52
1265.0,52.37
1300.9,52.73
1336.9,52.92
1372.9,51.93
1399.2,48.77
1422.2,45.28
1454.9,43.97
1490.8,45.66
1526.7,47.98
1562.6,49.26
1598.5,49.81
1634.5,50.26
1670.4,49.95
1706.4,49.20
1742.4,48.48
1778.4,47.95
1814.4,47.64
1850.3,47.24
1875.0,44.21
1885.7,40.44
1891.5,37.10
1896.6,33.78
1903.2,30.50
1912.6,26.95
1939.4,24.54
1975.3,26.67
2009.5,29.97
2043.7,32.56
2079.6,34.41
2115.5,35.96
2151.5,36.45
2187.4,35.69
2223.4,35.28
2259.4,35.47
2295.3,35.02
2331.3,33.84
2367.4,32.17
2403.4,30.51
2439.4,28.86
2475.4,26.97
