Wavelength (nm),Transmission (fraction)
351.0,0.64
356.9,0.67
361.6,0.69
365.9,0.74
373.9,0.78
375.3,0.82
396.0,0.83
423.1,0.83
450.1,0.84
477.1,0.85
504.1,0.85
531.1,0.88
558.2,0.89
579.0,0.91
599.9,0.92
627.0,0.92
649.1,0.94
671.2,0.95
698.2,0.94
725.2,0.94
751.0,0.96
776.8,0.97
802.6,0.95
828.4,0.93
855.4,0.93
882.4,0.95
909.5,0.96
936.5,0.96
963.5,0.94
990.5,0.92
1017.5,0.92
1044.6,0.92
1071.6,0.93
1098.6,0.93
1125.6,0.94
1152.7,0.93
1179.7,0.92
1206.7,0.92
1233.7,0.91
1260.7,0.91
1287.8,0.91
1314.8,0.91
1341.8,0.91
1368.8,0.92
1395.8,0.92
1422.9,0.93
1449.9,0.93
1476.9,0.93
1503.9,0.92
1531.0,0.92
1558.0,0.91
1585.0,0.90
1612.0,0.90
1639.0,0.90
1666.1,0.89
1693.1,0.89
1720.1,0.90
1747.1,0.91
1774.2,0.91
1802.5,0.91
1811.7,0.91
1812.3,0.94
1830.5,0.93
1838.7,0.92
1840.0,0.95
1857.5,0.93
1864.6,0.95
1865.8,0.92
1884.5,0.94
1889.2,0.96
1894.1,0.93
1911.6,0.95
1920.6,0.94
1926.2,0.97
1937.4,0.95
1944.6,0.97
1946.9,0.94
1965.4,0.96
1974.5,0.95
1981.5,0.97
1991.4,0.96
1998.1,0.95
2012.3,0.97
2016.5,0.96
2030.8,0.95
2040.0,0.97
2049.1,0.96
2066.9,0.95
2076.9,0.97
2085.6,0.96
2093.7,0.95
2107.7,0.96
2119.4,0.95
2127.1,0.94
2144.6,0.96
2148.8,0.95
2156.9,0.94
2164.5,0.94
2175.4,0.95
2182.6,0.94
2188.1,0.93
