Wavelength (nm),Transmission (%)
426.3,86.70
479.9,83.55
523.8,80.14
566.9,76.70
609.4,72.79
646.5,69.50
687.5,65.31
728.8,61.10
771.2,56.99
814.9,53.49
863.1,49.88
920.9,47.00
976.6,45.44
1036.6,46.54
1075.7,48.37
1095.5,50.13
1119.5,51.63
1153.4,50.78
1202.9,49.45
1232.7,50.93
1258.3,50.93
1305.2,49.97
1320.3,47.67
1349.7,45.03
1356.9,42.56
1376.3,40.13
1386.9,37.43
1387.8,32.84
1400.2,25.35
1402.8,28.98
1408.0,21.40
1413.4,16.01
1434.7,11.80
1462.8,9.07
1489.9,10.54
1553.2,11.20
1607.7,11.03
1663.5,11.24
1685.6,9.07
1737.2,7.10
1800.9,5.76
1853.9,4.86
1875.5,2.33
1922.9,0.76
1992.3,0.23
2076.3,0.23
2167.1,0.76
2251.7,0.70
2324.7,0.70
2364.9,0.70
2419.7,0.70
2470.8,0.70
