Wavelength (nm),Transmission (fraction)
406.5,0.43
413.6,0.45
422.1,0.48
433.4,0.50
444.8,0.53
460.4,0.55
475.9,0.58
491.5,0.60
511.4,0.62
536.9,0.65
568.1,0.67
599.2,0.68
627.6,0.70
655.9,0.70
687.1,0.70
718.3,0.72
749.5,0.72
780.7,0.71
807.6,0.73
834.5,0.75
865.7,0.76
896.9,0.75
928.0,0.75
959.2,0.77
990.4,0.79
1021.6,0.80
1052.8,0.80
1083.9,0.79
1115.1,0.78
1146.3,0.78
1177.5,0.78
1208.7,0.79
1239.8,0.79
1271.0,0.79
1302.2,0.78
1333.4,0.77
1364.6,0.76
1395.7,0.76
1426.9,0.75
1458.1,0.75
1489.3,0.75
1520.4,0.74
1551.6,0.73
1582.8,0.72
1614.0,0.71
1643.7,0.70
1673.5,0.67
1704.7,0.65
1735.9,0.65
1767.0,0.64
1798.2,0.64
1829.4,0.64
1860.6,0.63
1891.8,0.62
1922.9,0.61
1954.1,0.61
1983.9,0.61
