Wavelength (nm),Transmission (fraction)
400,0.39
402.9,0.40
409.3,0.42
414.1,0.45
422.8,0.47
439.1,0.49
457.5,0.51
483.0,0.54
511.4,0.56
542.8,0.56
573.7,0.56
604.9,0.55
634.7,0.54
660.2,0.51
687.1,0.49
716.9,0.48
742.4,0.45
769.3,0.43
800.5,0.41
831.7,0.40
862.9,0.39
894.0,0.38
925.2,0.37
956.4,0.38
987.6,0.39
1017.3,0.40
1049.9,0.40
1081.1,0.41
1112.3,0.41
1143.5,0.42
1174.6,0.42
1205.8,0.43
1237.3,0.44
1268.2,0.44
1299.4,0.44
1330.5,0.44
1361.7,0.43
1392.9,0.43
1424.1,0.43
1455.3,0.42
1486.4,0.42
1517.6,0.41
1548.8,0.41
1580.0,0.40
1611.2,0.39
1642.3,0.37
1673.5,0.35
1704.7,0.34
1735.9,0.34
1767.0,0.33
1798.2,0.32
1829.4,0.31
1860.6,0.30
1891.8,0.29
1922.9,0.28
1954.1,0.27
1982.5,0.27
2002.3,0.26
